Title,US Gross,Production Budget,Release Date,Major Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating
The Shawshank Redemption,28241469,25000000,Sep 23 1994,Drama,Fiction,88,9.2
Inception,285630280,160000000,Jul 16 2010,Horror/Thriller,Fiction,87,9.1
One Flew Over the Cuckoo's Nest,108981275,4400000,Nov 19 1975,Comedy,Fiction,96,8.9
The Dark Knight,533345358,185000000,Jul 18 2008,Action/Adventure,Fiction,93,8.9
Schindler's List,96067179,25000000,Dec 15 1993,Drama,Non-Fiction,97,8.9
Pulp Fiction,107928762,8000000,Oct 14 1994,Drama,Fiction,94,8.9
Toy Story 3,410640665,200000000,Jun 18 2010,Action/Adventure,Fiction,99,8.9
Casablanca,10462500,950000,Dec 31 1941,Drama,Fiction,97,8.8
The Silence of the Lambs,130726716,20000000,Feb 14 1991,Horror/Thriller,Fiction,96,8.7
The Usual Suspects,23341568,6000000,Aug 16 1995,Drama,Fiction,87,8.7
The Matrix,171479930,65000000,Mar 31 1999,Action/Adventure,Fiction,86,8.7
Lawrence of Arabia,37495385,15000000,Dec 16 1962,Action/Adventure,Non-Fiction,98,8.6
Forrest Gump,329694499,55000000,Jul 06 1994,Drama,Fiction,70,8.6
